time,open,high,low,close,volume
2024-12-11,126.26,127.69,126.01,126.68,4828035
2024-12-12,127.86,127.86,125.58,126.43,4158310
2024-12-13,125.84,127.02,125.75,125.84,3387167
2024-12-16,125.92,126.76,125.84,126.17,3296592
2024-12-17,126.34,126.68,124.32,124.57,5958677
2024-12-18,124.57,126.09,124.57,125.16,2927454
2024-12-19,123.99,125.42,123.9,124.66,4811922
2024-12-20,125.0,126.76,124.83,125.84,3544255
2024-12-23,125.84,126.17,125.16,126.09,2520029
2024-12-24,126.26,126.93,125.75,126.6,2306686
2024-12-25,126.76,127.27,126.6,126.93,2517969
2024-12-26,127.1,127.44,125.5,126.09,2238343
2024-12-27,125.84,126.17,125.16,125.92,2567003
2024-12-30,125.75,126.93,125.0,126.68,1986819
2024-12-31,126.85,129.54,126.51,128.36,3612655
2025-01-02,128.36,128.53,126.34,127.94,3179535
2025-01-03,127.35,127.35,125.42,125.42,4342125
2025-01-06,125.5,126.43,124.91,125.67,3472044
2025-01-07,125.84,127.35,125.84,126.34,3458671
2025-01-08,126.26,126.26,124.66,124.83,3886957
2025-01-09,124.83,125.58,124.57,125.25,1724571
2025-01-10,125.25,125.5,123.9,123.99,2531304
2025-01-13,122.98,125.0,121.8,124.24,3495883
2025-01-14,124.24,124.57,122.13,122.13,2910614
2025-01-15,122.89,123.31,121.88,122.47,2849518
2025-01-16,123.06,123.73,122.22,123.31,3577267
2025-01-17,123.4,126.34,122.89,125.42,3543613
2025-01-20,125.42,126.6,124.74,126.26,2222776
2025-01-21,126.68,127.44,125.42,126.17,2487666
2025-01-22,125.92,126.76,125.58,126.01,2791445
2025-01-23,126.34,131.31,126.26,129.88,7071025
2025-01-24,129.71,130.05,129.12,129.12,3663137
2025-02-03,124.57,125.58,122.3,122.47,12782345
2025-02-04,122.89,123.73,122.3,123.06,5484258
2025-02-05,123.65,124.15,122.72,123.14,5215921
2025-02-06,123.73,123.99,122.55,123.31,3436430
2025-02-07,123.31,123.48,122.72,122.98,3871195
2025-02-10,122.47,122.47,119.52,119.52,7778331
2025-02-11,119.69,122.39,117.93,122.39,5374143
2025-02-12,122.55,122.64,121.46,122.05,1894041
2025-02-13,122.05,122.05,120.11,120.45,2864744
2025-02-14,121.21,122.05,120.87,121.97,3258612
2025-02-17,122.05,122.05,120.7,120.87,2476462
2025-02-18,121.04,121.54,120.45,121.12,1670138
2025-02-19,121.12,121.97,120.45,121.21,3035921
2025-02-20,121.38,121.71,120.37,120.37,3392942
2025-02-21,120.2,120.28,119.1,119.52,5328132
2025-02-24,119.52,119.52,117.42,118.26,7522473
2025-02-25,118.18,118.18,116.33,117.0,6832220
2025-02-26,117.08,119.36,116.92,119.36,3331505
2025-02-27,119.52,119.69,118.43,118.94,3433107
2025-02-28,117.93,118.77,117.0,118.09,4704828
2025-03-03,118.26,119.02,118.09,118.26,2546980
2025-03-04,117.42,118.35,117.25,117.84,3480042
2025-03-05,117.84,117.93,117.08,117.08,2862185
2025-03-06,117.42,120.79,117.42,119.19,6428376
2025-03-07,119.27,120.11,118.77,119.02,2966941
2025-03-10,119.1,119.1,117.17,117.25,5343134
2025-03-11,116.16,116.58,115.32,115.74,5801595
2025-03-12,115.91,116.75,114.39,114.39,6229823
2025-03-13,114.56,116.16,114.56,114.9,3630282
2025-03-14,114.14,114.73,110.1,110.6,16174178
2025-03-17,110.77,111.19,109.09,109.42,6750806
2025-03-18,109.51,111.28,109.42,109.42,5538119
2025-03-19,109.51,109.93,103.95,104.88,18229064
2025-03-20,104.88,106.73,104.79,105.22,8231543
2025-03-21,105.22,108.58,105.22,107.74,6450846
2025-03-24,108.16,108.83,107.15,108.58,5114180
2025-03-25,109.26,109.34,106.48,106.48,5662235
2025-03-26,106.48,106.48,103.28,103.53,9787345
2025-03-27,102.69,106.48,101.93,106.23,6486187
2025-03-28,106.14,106.39,104.37,104.37,2959445
2025-03-31,103.87,103.87,101.85,101.85,5435725
2025-04-01,102.69,102.86,100.0,101.43,7866837
2025-04-02,102.02,102.94,101.68,102.69,3932911
2025-04-03,96.55,98.99,95.54,95.54,11536434
2025-04-04,88.89,95.87,88.89,95.11,21606397
2025-04-08,89.22,90.91,88.47,88.47,16338312
2025-04-09,82.32,90.91,82.32,88.63,16920135
2025-04-10,94.78,94.78,94.78,94.78,1009422
2025-04-11,98.48,99.74,96.21,99.74,19273397
2025-04-14,101.01,101.01,95.96,99.74,9243738
2025-04-15,97.72,98.48,95.7,97.64,7787164
2025-04-16,96.38,97.56,90.82,90.82,18073930
2025-04-17,88.38,93.68,88.3,92.08,8598000
2025-04-18,93.01,96.8,93.01,93.94,7503525
2025-04-21,94.27,94.69,92.59,94.02,4346403
2025-04-22,93.43,93.6,87.54,92.93,9157581
2025-04-23,94.02,94.02,90.65,92.93,5722250
2025-04-24,93.85,95.7,93.09,94.27,7752762
2025-04-25,94.27,94.61,92.76,94.61,5395660
2025-04-28,94.27,94.61,91.92,92.17,3871885
2025-04-29,92.25,93.01,91.83,92.08,2963086
2025-05-05,92.17,92.34,89.98,91.41,7187087
2025-05-06,91.41,93.43,91.41,92.34,5700105
2025-05-07,92.25,93.6,91.66,92.34,3939067
2025-05-08,92.93,96.46,91.75,96.21,12669001
2025-05-09,96.21,97.98,95.54,97.64,8515499
2025-05-12,98.48,99.91,98.23,99.58,8737998
2025-05-13,101.01,101.26,99.83,100.59,8585153
2025-05-14,101.01,106.31,101.01,106.31,12115033
2025-05-15,106.48,106.81,104.04,105.22,7832064
2025-05-16,104.79,104.96,101.76,101.85,8039229
2025-05-19,100.0,101.43,98.14,99.49,9942512
2025-05-20,98.31,100.42,98.31,100.33,7929467
2025-05-21,101.01,101.01,98.48,99.58,6040245
2025-05-22,98.57,98.99,97.3,98.31,6376715
2025-05-23,98.23,99.15,97.64,98.57,4456672
2025-05-26,98.23,99.15,96.8,98.73,4039601
2025-05-27,98.82,100.5,98.82,100.16,5512819
2025-05-28,100.33,100.5,98.9,99.66,3948303
2025-05-29,100.16,100.16,98.57,98.57,2945136
2025-05-30,99.32,99.49,98.06,98.06,4051804
2025-06-02,98.06,98.57,97.3,97.72,2932470
2025-06-03,98.23,99.32,97.89,98.82,3410333
2025-06-04,99.32,99.49,98.06,98.57,2883362
2025-06-05,98.57,98.73,98.06,98.31,2311499
2025-06-06,98.31,98.31,96.8,96.8,5400395
2025-06-09,97.22,98.4,96.8,97.81,3064841
2025-06-10,98.48,98.82,97.39,97.39,3372461
2025-06-11,97.72,99.49,97.72,99.24,5756496
2025-06-12,99.84,99.92,98.9,99.33,4162497
2025-06-13,98.48,98.9,97.54,97.97,6182491
2025-06-16,97.71,101.7,97.63,101.02,8087673
2025-06-17,101.02,101.28,100.34,100.85,4613155
2025-06-18,100.85,101.45,98.82,99.33,6571082
2025-06-19,99.33,99.41,98.22,98.48,5416264
2025-06-20,98.56,99.24,98.31,98.56,4347313
2025-06-23,98.05,98.73,97.2,98.39,4602132
